

X, Y
1.55807e-06, 0.00542736
1.55625e-06, 0.00545539
1.55443e-06, 0.00547324
1.55262e-06, 0.00548037
1.55081e-06, 0.00548086
1.54901e-06, 0.00548169
1.54721e-06, 0.00548969
1.54542e-06, 0.00550864
1.54363e-06, 0.00553761
1.54184e-06, 0.00557139
1.54006e-06, 0.00560267
1.53828e-06, 0.00562522
1.53651e-06, 0.00563655
1.53474e-06, 0.00563902
1.53298e-06, 0.00563879
1.53121e-06, 0.00564323
1.52946e-06, 0.0056577
1.5277e-06, 0.00568329
1.52595e-06, 0.00571628
1.52421e-06, 0.0057498
1.52247e-06, 0.00577672
1.52073e-06, 0.00579276
1.519e-06, 0.0057983
1.51727e-06, 0.00579826
1.51554e-06, 0.00579998
1.51382e-06, 0.00581006
1.5121e-06, 0.00583154
1.51039e-06, 0.00586255
1.50868e-06, 0.00589714
1.50697e-06, 0.0059278
1.50527e-06, 0.00594872
1.50357e-06, 0.00595825
1.50188e-06, 0.00595967
1.50019e-06, 0.00595976
1.4985e-06, 0.00596588
1.49682e-06, 0.00598285
1.49514e-06, 0.00601081
1.49346e-06, 0.00604521
1.49179e-06, 0.00607871
1.49012e-06, 0.00610434
1.48846e-06, 0.00611854
1.4868e-06, 0.00612264
1.48514e-06, 0.00612234
1.48349e-06, 0.00612525
1.48184e-06, 0.00613765
1.48019e-06, 0.00616173
1.47855e-06, 0.00619469
1.47691e-06, 0.00622991
1.47528e-06, 0.00625978
1.47365e-06, 0.006279
1.47202e-06, 0.00628684
1.47039e-06, 0.00628749
1.46877e-06, 0.00628823
1.46716e-06, 0.00629636
1.46554e-06, 0.00631601
1.46393e-06, 0.00634638
1.46233e-06, 0.00638207
1.46072e-06, 0.00641539
1.45912e-06, 0.00643966
1.45753e-06, 0.00645209
1.45594e-06, 0.00645499
1.45435e-06, 0.0064548
1.45276e-06, 0.0064593
1.45118e-06, 0.00647431
1.4496e-06, 0.00650113
1.44803e-06, 0.00653602
1.44645e-06, 0.00657175
