

lambda(m), Y
9.95766e-07, -0.184932
9.95022e-07, -0.180894
9.9428e-07, -0.176914
9.93539e-07, -0.17299
9.92799e-07, -0.169125
9.9206e-07, -0.165327
9.91322e-07, -0.161603
9.90585e-07, -0.157963
9.89849e-07, -0.15441
9.89114e-07, -0.150942
9.88381e-07, -0.147551
9.87648e-07, -0.144227
9.86917e-07, -0.140959
9.86186e-07, -0.137738
9.85457e-07, -0.13456
9.84729e-07, -0.131427
9.84002e-07, -0.128346
9.83276e-07, -0.125326
9.82551e-07, -0.122375
9.81827e-07, -0.119498
9.81104e-07, -0.116694
9.80383e-07, -0.113956
9.79662e-07, -0.111276
9.78942e-07, -0.108641
9.78224e-07, -0.106043
9.77506e-07, -0.103477
9.7679e-07, -0.100944
9.76074e-07, -0.0984504
9.7536e-07, -0.096005
9.74647e-07, -0.0936167
9.73934e-07, -0.0912909
9.73223e-07, -0.0890282
9.72513e-07, -0.0868236
9.71804e-07, -0.084668
9.71095e-07, -0.0825506
9.70388e-07, -0.0804621
9.69682e-07, -0.0783975
9.68977e-07, -0.0763571
9.68273e-07, -0.0743464
9.6757e-07, -0.0723739
9.66868e-07, -0.0704482
9.66167e-07, -0.0685753
9.65467e-07, -0.0667562
9.64768e-07, -0.0649863
9.6407e-07, -0.0632569
9.63373e-07, -0.0615576
9.62678e-07, -0.0598793
9.61983e-07, -0.0582171
9.61289e-07, -0.0565714
9.60596e-07, -0.0549482
9.59904e-07, -0.0533563
9.59213e-07, -0.0518051
9.58523e-07, -0.050301
9.57834e-07, -0.0488454
9.57146e-07, -0.0474337
9.56459e-07, -0.0460569
9.55773e-07, -0.044704
9.55088e-07, -0.0433653
9.54404e-07, -0.0420355
9.53721e-07, -0.0407152
9.53039e-07, -0.0394106
9.52358e-07, -0.0381315
9.51678e-07, -0.0368883
9.50999e-07, -0.0356883
9.50321e-07, -0.0345332
9.49644e-07, -0.0334185
9.48967e-07, -0.0323346
9.48292e-07, -0.0312696
9.47618e-07, -0.0302131
9.46945e-07, -0.0291592
9.46272e-07, -0.0281088
9.45601e-07, -0.0270689
9.4493e-07, -0.0260508
9.44261e-07, -0.0250662
9.43592e-07, -0.0241234
9.42925e-07, -0.0232246
9.42258e-07, -0.0223648
9.41592e-07, -0.0215331
9.40927e-07, -0.020716
9.40263e-07, -0.0199018
9.396e-07, -0.0190842
9.38938e-07, -0.0182645
9.38277e-07, -0.0174514
9.37617e-07, -0.0166585
9.36958e-07, -0.0158996
9.363e-07, -0.0151846
9.35642e-07, -0.0145157
9.34986e-07, -0.0138862
9.3433e-07, -0.0132828
9.33676e-07, -0.0126888
9.33022e-07, -0.01209
